1000.0
1986.0,15.0,65.0
1405.0,27.0,534.0
737.0,146.0,330.0,733.0
560.0,619.0,489.0,7.0,357.0
222.0,431.0,1069.0,74.0,311.0,1.0
409.0,640.0,380.0,364.0,103.0,147.0
117.0,270.0,43.0,114.0,1272.0,41.0,1.0,249.0
281.0,365.0,99.0,899.0,11.0,453.0
178.0,494.0,150.0,386.0,552.0,219.0,67.0
399.0,37.0,52.0,379.0,929.0,414.0
7.0,2.0,1318.0,73.0,262.0,283.0,177.0,63.0
13.0,120.0,785.0,7.0,37.0,21.0,145.0,933.0,10.0
170.0,869.0,97.0,236.0,732.0,34.0
1244.0,12.0,127.0,14.0,160.0,68.0,594.0
1078.0,101.0,340.0,42.0,4.0,80.0,657.0
1512.0,292.0,207.0,1.0,4.0,41.0,267.0
1477.0,37.0,4.0,128.0,195.0,73.0,238.0,128.0
3.0,488.0,30.0,210.0,210.0,108.0,498.0,783.0,2.0,128.0
1.0,264.0,491.0,39.0,404.0,1154.0,140.0
1084.0,298.0,12.0,397.0,71.0,39.0,110.0,387.0,165.0,68.0
184.0,33.0,192.0,16.0,306.0,821.0,107.0,1.0,2.0,370.0,16.0,53.0,84.0,7.0,197.0
86.0,451.0,138.0,110.0,1612.0,20.0,191.0,116.0,2.0
26.0,293.0,207.0,746.0,181.0,534.0,207.0,361.0,13.0,22.0
105.0,243.0,179.0,579.0,273.0,79.0,31.0,1187.0,3.0,11.0,21.0,7.0
269.0,60.0,1.0,296.0,18.0,121.0,43.0,406.0,1501.0,2.0
758.0,323.0,380.0,225.0,101.0,197.0,595.0,28.0,57.0
583.0,509.0,745.0,111.0,53.0,575.0,195.0
491.0,455.0,668.0,5.0,416.0,57.0,292.0,344.0,14.0
672.0,244.0,470.0,148.0,9.0,18.0,1.0,533.0,83.0,346.0,330.0
693.0,159.0,279.0,177.0,20.0,326.0,6.0,88.0,248.0,156.0,21.0,98.0,155.0,390.0,1.0
18.0,35.0,350.0,7.0,7.0,360.0,166.0,3.0,12.0,335.0,973.0,15.0,405.0,74.0,36.0
178.0,7.0,56.0,21.0,352.0,1179.0,53.0,11.0,134.0,403.0,8.0,1.0,338.0,143.0
276.0,217.0,79.0,1046.0,86.0,236.0,3.0,305.0,3.0,236.0,1.0,8.0,363.0,8.0
219.0,243.0,6.0,1.0,924.0,51.0,42.0,263.0,101.0,16.0,141.0,47.0,2.0,309.0,461.0,9.0
1.0,198.0,100.0,3.0,112.0,223.0,150.0,210.0,154.0,104.0,6.0,18.0,432.0,856.0,32.0,430.0,203.0
86.0,407.0,2.0,2.0,77.0,485.0,42.0,4.0,16.0,2.0,108.0,311.0,56.0,513.0,282.0,36.0,613.0
46.0,486.0,152.0,739.0,5.0,366.0,218.0,96.0,51.0,290.0,162.0,218.0,24.0,139.0
85.0,91.0,485.0,280.0,280.0,4.0,14.0,2.0,593.0,125.0,8.0,817.0,51.0,162.0,182.0
85.0,35.0,149.0,26.0,1.0,574.0,271.0,73.0,2.0,1.0,186.0,1065.0,3.0,48.0,182.0,5.0,96.0,369.0
1430.0,77.0,1.0,196.0,157.0,3.0,459.0,2.0,15.0,58.0,349.0,159.0,280.0
1209.0,56.0,2.0,176.0,79.0,51.0,41.0,410.0,13.0,43.0,252.0,268.0,121.0,3.0,438.0
523.0,180.0,61.0,14.0,60.0,56.0,237.0,5.0,5.0,39.0,981.0,408.0,316.0,3.0,355.0
5.0,266.0,17.0,1.0,355.0,61.0,2.0,846.0,173.0,52.0,30.0,133.0,447.0,639.0,331.0
1.0,211.0,7.0,572.0,420.0,56.0,22.0,44.0,585.0,5.0,126.0,2.0,56.0,42.0,43.0,286.0,402.0,510.0
29.0,217.0,3.0,310.0,1.0,337.0,1.0,2.0,55.0,616.0,6.0,156.0,3.0,151.0,305.0,443.0,627.0,133.0
266.0,1.0,39.0,275.0,11.0,164.0,2.0,18.0,236.0,730.0,3.0,346.0,52.0,10.0,4.0,73.0,304.0,112.0,541.0,13.0
